AFGHANISTAN;KARACHI;;;
ALBANIA;VORE;;;
ALGERIA;CONSTANTINE;;;
ALGERIA;HASSI MESSAOUD;;;
ALGERIA;ORAN;;;
ALGERIA;OUED SMAR;;;
ALGERIA;SETIF;;;
AMERICAN SAMOA;PAGO PAGO;;;
ANGOLA;LUANDA;;;
ANGOLA;MAIDENHEAD;;;
ARGENTINA;BUENOS AIRES;;;
ARGENTINA;CIPOLETTI;;;
ARGENTINA;COMODORO RIVADAVIA;;;
ARGENTINA;LOS NOGALES;;;
ARGENTINA;MAR DEL PLATA;;;
ARGENTINA;NEUQUEN;;;
ARGENTINA;POSADAS;;;
ARGENTINA;RESISTENCIA;;;
ARGENTINA;RIO GALLEGOS;;;
ARGENTINA;RIO GRANDE;;;
ARGENTINA;ROSARIO;;;
ARGENTINA;SALTA;;;
ARGENTINA;TORTUGUITAS;;;
ARMENIA;ABOVYAN ;;;
ARMENIA;EREVAN ;;;
ARMENIA;GNDEVAZ;;;
ARMENIA;KAJARAN;;;
ARMENIA;STEINHAUSEN;;;
ARMENIA;TEGHUT;;;
AUSTRALIA;ALBION PARK;;;
AUSTRALIA;ALEXANDRIA;;;
AUSTRALIA;ALICE SPRINGS;;;
AUSTRALIA;ARCHERFIELD;;;
AUSTRALIA;ASCOT;;;
AUSTRALIA;BALLINA;;;
AUSTRALIA;BERESFIELD;;;
AUSTRALIA;BERKELEY VALE;;;
AUSTRALIA;BERRIEDALE;;;
AUSTRALIA;BODDINGTON;;;
AUSTRALIA;BOOLAROO;;;
AUSTRALIA;BOULDER;;;
AUSTRALIA;BROKEN HILL;;;
AUSTRALIA;BROOKVALE;;;
AUSTRALIA;BROOME;;;
AUSTRALIA;BUNBURY;;;
AUSTRALIA;BUSSELTON;;;
AUSTRALIA;CABOOLTURE;;;
AUSTRALIA;CAIRNS;;;
AUSTRALIA;CAMPBELLTOWN;;;
AUSTRALIA;CANNINGTON;;;
AUSTRALIA;CARDIFF;;;
AUSTRALIA;CARINGBAH;;;
AUSTRALIA;CENTRAL QUEENSLAND MC;;;
AUSTRALIA;CLAYTON;;;
AUSTRALIA;CLYDE;;;
AUSTRALIA;COBAR;;;
AUSTRALIA;COFFS HARBOUR;;;
AUSTRALIA;COLLIE;;;
AUSTRALIA;DANDENONG SOUTH;;;
AUSTRALIA;DARWIN;;;
AUSTRALIA;DUBBO;;;
AUSTRALIA;EAST BENDIGO;;;
AUSTRALIA;EAST WAGGA WAGGA;;;
AUSTRALIA;EMERALD;;;
AUSTRALIA;ENFIELD;;;
AUSTRALIA;ESPERANCE;;;
AUSTRALIA;FORRESTFIELD;;;
AUSTRALIA;FYSHWICK;;;
AUSTRALIA;GARBUTT;;;
AUSTRALIA;GERALDTON;;;
AUSTRALIA;GIRRAWEEN;;;
AUSTRALIA;GLADSTONE;;;
AUSTRALIA;GOSFORD;;;
AUSTRALIA;GOVE;;;
AUSTRALIA;GRIFFITH;;;
AUSTRALIA;HAMILTON HILL;;;
AUSTRALIA;HOLBROOK;;;
AUSTRALIA;HOPETOUN;;;
AUSTRALIA;HORSHAM;;;
AUSTRALIA;HUME;;;
AUSTRALIA;INGLEBURN;;;
AUSTRALIA;KALGOORLIE;;;
AUSTRALIA;KAMBALDA;;;
AUSTRALIA;KARRATHA;;;
AUSTRALIA;KELSO;;;
AUSTRALIA;KEWDALE;;;
AUSTRALIA;KUNUNURRA;;;
AUSTRALIA;KWINANA;;;
AUSTRALIA;LAMBTON;;;
AUSTRALIA;LARAPINTA;;;
AUSTRALIA;LAVERTON;;;
AUSTRALIA;LAVINGTON;;;
AUSTRALIA;LEINSTER;;;
AUSTRALIA;LEONORA;;;
AUSTRALIA;LITHGOW;;;
AUSTRALIA;LIVERPOOL;;;
AUSTRALIA;MACKAY MC;;;
AUSTRALIA;MAITLAND;;;
AUSTRALIA;MANDURAH;;;
AUSTRALIA;MEEKATHARRA;;;
AUSTRALIA;MIDLAND;;;
AUSTRALIA;MILDURA;;;
AUSTRALIA;MOOREBANK;;;
AUSTRALIA;MOREE;;;
AUSTRALIA;MOUNT GAMBIER;;;
AUSTRALIA;MOUNT ISA;;;
AUSTRALIA;MT THORLEY;;;
AUSTRALIA;MULGRAVE;;;
AUSTRALIA;MUSWELLBROOK;;;
AUSTRALIA;NEWMAN;;;
AUSTRALIA;NORTH WOLLONGONG;;;
AUSTRALIA;OAKEY;;;
AUSTRALIA;ORANGE;;;
AUSTRALIA;OSBORNE PARK;;;
AUSTRALIA;PALMERSTON;;;
AUSTRALIA;PARKES;;;
AUSTRALIA;PENRITH;;;
AUSTRALIA;PINJARRA;;;
AUSTRALIA;PORT HEDLAND;;;
AUSTRALIA;PORT KEMBLA;;;
AUSTRALIA;PORT LINCOLN;;;
AUSTRALIA;PORT MACQUARIE;;;
AUSTRALIA;QUEANBEYAN;;;
AUSTRALIA;REGENCY PARK;;;
AUSTRALIA;REVESBY;;;
AUSTRALIA;ROCHERLEA;;;
AUSTRALIA;ROSEHILL;;;
AUSTRALIA;ROXBY DOWNS;;;
AUSTRALIA;SEVEN HILLS;;;
AUSTRALIA;SINGLETON;;;
AUSTRALIA;SOMERSET;;;
AUSTRALIA;SOUTH GEELONG;;;
AUSTRALIA;SOUTH GRAFTON;;;
AUSTRALIA;SOUTH LISMORE;;;
AUSTRALIA;SOUTH NOWRA;;;
AUSTRALIA;SOUTH TWEED HEADS;;;
AUSTRALIA;SUMNER PARK BC;;;
AUSTRALIA;SWAN HILL;;;
AUSTRALIA;SYDNEY;;;
AUSTRALIA;TAMINDA;;;
AUSTRALIA;TAMWORTH;;;
AUSTRALIA;TAYLORS BEACH;;;
AUSTRALIA;THORNTON;;;
AUSTRALIA;TOM PRICE;;;
AUSTRALIA;TOMAGO;;;
AUSTRALIA;TOOWOOMBA;;;
AUSTRALIA;TRARALGON;;;
AUSTRALIA;TUNCURRY;;;
AUSTRALIA;ULLADULLA;;;
AUSTRALIA;UNANDERRA;;;
AUSTRALIA;WAGGA WAGGA;;;
AUSTRALIA;WANNEROO;;;
AUSTRALIA;WAROONA;;;
AUSTRALIA;WEIPA;;;
AUSTRALIA;WELSHPOOL;;;
AUSTRALIA;WEST BURLEIGH;;;
AUSTRALIA;WETHERILL PARK;;;
AUSTRALIA;WHYALLA PLAYFORD;;;
AUSTRALIA;WILLOUGHBY;;;
AUSTRALIA;WINGFIELD;;;
AUSTRALIA;WODONGA;;;
AUSTRIA;FISCHAMEND;;;
AUSTRIA;INZING;;;
AUSTRIA;KALSDORF BEI GRAZ;;;
AUSTRIA;LINZ;;;
AUSTRIA;STADELBACH;;;
AUSTRIA;WALS;;;
BAHAMAS;FREEPORT;;;
BAHAMAS;NASSAU;;;
BAHRAIN;MANAMA;;;
BANGLADESH;BANANI;;;
BARBADOS;CHRIST CHURCH;;;
BELGIUM;ANTWERPEN;;;
BELGIUM;HERSTAL;;;
BELGIUM;IZEGEM;;;
BELGIUM;OVERIJSE;;;
BELGIUM;WILRIJK;;;
BELIZE;LADYVILLE;;;
BENIN;COTONOU;;;
BHUTAN;PHUNTSHOLING;;;
BOSNIA AND HERZEGOVINA;LAKTASI;;;
BOSNIA AND HERZEGOVINA;LUKAVAC;;;
BOSNIA AND HERZEGOVINA;SARAJEVO;;;
BOTSWANA;GABORONE;;;
BOTSWANA;MAUN;;;
BRAZIL;ALTAMIRA;;;
BRAZIL;ALTO HORIZONTE;;;
BRAZIL;APARECIDA DE GOIANIA;;;
BRAZIL;ARACAJU;;;
BRAZIL;ARACATUBA;;;
BRAZIL;ARIPUANA;;;
BRAZIL;BAURU;;;
BRAZIL;BELEM;;;
BRAZIL;BOA VISTA;;;
BRAZIL;CAMPO GRANDE;;;
BRAZIL;CANAA DOS CARAJAS;;;
BRAZIL;CASCAVEL;;;
BRAZIL;CHAPECO;;;
BRAZIL;CONTAGEM;;;
BRAZIL;CUIABA;;;
BRAZIL;CURITIBA;;;
BRAZIL;FORTALEZA;;;
BRAZIL;GOVERNADOR VALADARES;;;
BRAZIL;IMPERATRIZ;;;
BRAZIL;INDAIATUBA;;;
BRAZIL;IPIAU;;;
BRAZIL;ITABIRA;;;
BRAZIL;ITAGIBA;;;
BRAZIL;ITAITUBA;;;
BRAZIL;ITAJAI;;;
BRAZIL;JABOATAO DOS GUARARAPES;;;
BRAZIL;JACOBINA;;;
BRAZIL;JAGUARARI;;;
BRAZIL;JOAO PESSOA;;;
BRAZIL;LONDRINA;;;
BRAZIL;MACEIO;;;
BRAZIL;MANAUS;;;
BRAZIL;MARABA;;;
BRAZIL;MARINGA;;;
BRAZIL;MOSSORO;;;
BRAZIL;NOVA SANTA RITA;;;
BRAZIL;OURILANDIA DO NORTE;;;
BRAZIL;PALMAS;;;
BRAZIL;PARAUAPEBAS;;;
BRAZIL;PARNAMIRIM;;;
BRAZIL;PASSO FUNDO;;;
BRAZIL;PORTO VELHO;;;
BRAZIL;RIBEIRAO PRETO;;;
BRAZIL;RIO BRANCO;;;
BRAZIL;RIO DE JANEIRO;;;
BRAZIL;SALVADOR;;;
BRAZIL;SAO GONCALO DO RIO ABAIXO;;;
BRAZIL;SAO JOSE;;;
BRAZIL;SAO JOSE DO RIO PRETO;;;
BRAZIL;SAO JOSE DOS CAMPOS;;;
BRAZIL;SAO LUIS;;;
BRAZIL;SAO PAULO;;;
BRAZIL;SERRA;;;
BRAZIL;SINOP;;;
BRAZIL;SUMARE;;;
BRAZIL;TEIXEIRA DE FREITAS;;;
BRAZIL;TELEMACO BORBA;;;
BRAZIL;TERESINA;;;
BRAZIL;TRES LAGOAS;;;
BRAZIL;UBERLANDIA;;;
BRAZIL;VESPASIANO;;;
BRAZIL;VITORIA DO XINGU;;;
BRUNEI DARUSSALAM;BANDAR SERI BEGAWAN;;;
BRUNEI DARUSSALAM;KUALA BELAIT;;;
BULGARIA;BURGAS;;;
BULGARIA;SOFIA;;;
BULGARIA;STARA ZAGORA;;;
BULGARIA;VARNA;;;
BURKINA FASO;OUAGADOUGOU;;;
CAMBODIA;PHNOM PENH;;;
CAMEROON;DOUALA;;;
CAMEROON;GAROUA;;;
CAMEROON;YAOUNDE;;;
CANADA;ACHESON;;;
CANADA;AJAX;;;
CANADA;ANJOU;;;
CANADA;ANTIGONISH;;;
CANADA;ARNOLD'S COVE;;;
CANADA;BAIE-COMEAU;;;
CANADA;BALLS CREEK;;;
CANADA;BARRIE;;;
CANADA;BATHURST;;;
CANADA;BELLEVILLE;;;
CANADA;BRACEBRIDGE;;;
CANADA;BRADFORD;;;
CANADA;BRAMPTON;;;
CANADA;BRANDON;;;
CANADA;BRANTFORD;;;
CANADA;BURLINGTON;;;
CANADA;CALGARY;;;
CANADA;CAMBRIDGE;;;
CANADA;CANDIAC;;;
CANADA;CHARLOTTETOWN;;;
CANADA;CHICOUTIMI;;;
CANADA;COBOURG;;;
CANADA;CONCORD;;;
CANADA;CORNER BROOK;;;
CANADA;DARTMOUTH;;;
CANADA;EDMONTON;;;
CANADA;ELIE;;;
CANADA;ESTEVAN;;;
CANADA;FERMONT;;;
CANADA;FORT MCMURRAY;;;
CANADA;FORT ST JOHN;;;
CANADA;FREDERICTON;;;
CANADA;GANDER;;;
CANADA;GATINEAU;;;
CANADA;GLENBURNIE;;;
CANADA;GLOUCESTER;;;
CANADA;GORMLEY;;;
CANADA;GRANDE PRAIRIE;;;
CANADA;GUELPH;;;
CANADA;HALIFAX;;;
CANADA;HAPPY VALLEY-GOOSE BAY;;;
CANADA;HAVRE-SAINT-PIERRE;;;
CANADA;HAWKE'S BAY;;;
CANADA;IQALUIT;;;
CANADA;KAMLOOPS;;;
CANADA;KANATA;;;
CANADA;LANGLEY;;;
CANADA;LIVELY;;;
CANADA;LLOYDMINSTER;;;
CANADA;LONDON;;;
CANADA;MAIDSTONE;;;
CANADA;MERCIER;;;
CANADA;MONCTON;;;
CANADA;MORDEN;;;
CANADA;NAPANEE;;;
CANADA;NEPEAN;;;
CANADA;NIAGARA FALLS;;;
CANADA;NORTH BAY;;;
CANADA;ORO-MEDONTE;;;
CANADA;OWEN SOUND;;;
CANADA;PIERREFONDS;;;
CANADA;POINTE CLAIRE;;;
CANADA;POINTE-CLAIRE;;;
CANADA;PRINCE GEORGE;;;
CANADA;QUEBEC;;;
CANADA;RANKIN INLET;;;
CANADA;REGINA;;;
CANADA;SAINT JOHN;;;
CANADA;SAINTE-MADELEINE;;;
CANADA;SAINTE-ROSE;;;
CANADA;SAINT-LAURENT;;;
CANADA;SARNIA;;;
CANADA;SASKATOON;;;
CANADA;SAULT STE MARIE;;;
CANADA;SEPT-ILES;;;
CANADA;SHERBROOKE;;;
CANADA;SOUTH PORCUPINE;;;
CANADA;ST AUGUSTIN DE DESMAURES;;;
CANADA;ST CATHARINES;;;
CANADA;ST. JOHNS;;;
CANADA;STONEY CREEK;;;
CANADA;SUDBURY;;;
CANADA;SWIFT CURRENT;;;
CANADA;THOMPSON;;;
CANADA;THUNDER BAY;;;
CANADA;TIMMINS;;;
CANADA;TISDALE;;;
CANADA;TORONTO;;;
CANADA;TRENTON;;;
CANADA;TROIS-RIVIERES;;;
CANADA;VAL D'OR;;;
CANADA;VANCOUVER;;;
CANADA;WABUSH;;;
CANADA;WATERLOO;;;
CANADA;WEST KELOWNA;;;
CANADA;WINDSOR;;;
CANADA;WINNIPEG;;;
CANADA;WOODSTOCK;;;
CANADA;YARMOUTH;;;
CAPE VERDE;PRAIA;;;
CAYMAN ISLANDS;SAVANNAH;;;
CENTRAL AFRICAN REPUBLIC;BANGUI;;;
CHAD;N'DJAMENA;;;
CHILE;ANTOFAGASTA;;;
CHILE;CALAMA;;;
CHILE;CONCEPCION;;;
CHILE;COPIAPO;;;
CHILE;COQUIMBO;;;
CHILE;IQUIQUE;;;
CHILE;PUDAHUEL;;;
CHILE;PUERTO MONTT;;;
CHILE;PUNTA ARENAS;;;
CHILE;SANTIAGO;;;
CHILE;VALDIVIA;;;
CHILE;VALPARAISO;;;
CHINA;AKSU;;;
CHINA;ANKANG;;;
CHINA;ANNING;;;
CHINA;ANSHAN;;;
CHINA;BAISE;;;
CHINA;BAISHAN;;;
CHINA;BAODING;;;
CHINA;BAOJI;;;
CHINA;BAOSHAN;;;
CHINA;BAOTOU;;;
CHINA;BAYANNUR;;;
CHINA;BAZHONG;;;
CHINA;BEIAN;;;
CHINA;BEIJING;;;
CHINA;BEITUN;;;
CHINA;BENXI;;;
CHINA;BIJIE;;;
CHINA;CHANGCHUN;;;
CHINA;CHANGDE CITY;;;
CHINA;CHANGJI;;;
CHINA;CHANGSHA;;;
CHINA;CHAOYANG;;;
CHINA;CHENGDE;;;
CHINA;CHENGDU;;;
CHINA;CHENZHOU;;;
CHINA;CHIFENG;;;
CHINA;CHONGQING;;;
CHINA;DALI;;;
CHINA;DALIAN;;;
CHINA;DAQING;;;
CHINA;DATONG;;;
CHINA;DAZHOU;;;
CHINA;DELINHA;;;
CHINA;EERDUOSI;;;
CHINA;EN SHI;;;
CHINA;ENPING;;;
CHINA;FUZHOU;;;
CHINA;GANZHOU;;;
CHINA;GUANGFENG;;;
CHINA;GUANGZHOU;;;
CHINA;GUIGANG;;;
CHINA;GUILIN;;;
CHINA;GUIYANG;;;
CHINA;GULABEN;;;
CHINA;GUYUAN;;;
CHINA;HAIKOU;;;
CHINA;HAMI;;;
CHINA;HANDAN;;;
CHINA;HANGZHOU;;;
CHINA;HANZHONG;;;
CHINA;HARBIN;;;
CHINA;HECHI;;;
CHINA;HEFEI;;;
CHINA;HENGYANG;;;
CHINA;HETIAN;;;
CHINA;HEYUAN;;;
CHINA;HEZHOU;;;
CHINA;HOLIN GOL;;;
CHINA;HUAIHUA;;;
CHINA;HUANGSHI;;;
CHINA;HUHEHAOTE;;;
CHINA;HULUNBUIR;;;
CHINA;HUZHOU;;;
CHINA;JIAMUSI;;;
CHINA;JI'AN;;;
CHINA;JIANYANG;;;
CHINA;JIAYUGUAN;;;
CHINA;JILIN;;;
CHINA;JINAN;;;
CHINA;JINCHENG;;;
CHINA;JINGDEZHEN;;;
CHINA;JINHUA;;;
CHINA;JINING;;;
CHINA;JINZHONG;;;
CHINA;JINZHOU;;;
CHINA;JISHOU;;;
CHINA;JIUJIANG;;;
CHINA;KAILI;;;
CHINA;KASHI;;;
CHINA;KELAMAYI;;;
CHINA;KORLA;;;
CHINA;KUNMING;;;
CHINA;KUNSHAN;;;
CHINA;LANZHOU;;;
CHINA;LHASA;;;
CHINA;LIANYUNGANG;;;
CHINA;LINFEN;;;
CHINA;LINYI;;;
CHINA;LIUPANSHUI;;;
CHINA;LIUZHOU;;;
CHINA;LONGYAN;;;
CHINA;LUOYANG;;;
CHINA;LUZHOU;;;
CHINA;LVLIANG;;;
CHINA;MAJUQIAO;;;
CHINA;MANGYA;;;
CHINA;MAOMING;;;
CHINA;MENGZI;;;
CHINA;MIANYANG;;;
CHINA;MUDANJIANG;;;
CHINA;NAN CHUAN;;;
CHINA;NANCHANG;;;
CHINA;NANCHONG;;;
CHINA;NANJING;;;
CHINA;NANNING;;;
CHINA;NANYANG;;;
CHINA;NINGBO;;;
CHINA;ORDOS;;;
CHINA;PANZHIHUA;;;
CHINA;PINGXIANG;;;
CHINA;PUDONG;;;
CHINA;PU'ER;;;
CHINA;QIANJIANG;;;
CHINA;QINGDAO;;;
CHINA;QINZHOU;;;
CHINA;QIQIHAER;;;
CHINA;QUANZHOU;;;
CHINA;QUJING;;;
CHINA;SANYA;;;
CHINA;SHANGHAI;;;
CHINA;SHANGHANG;;;
CHINA;SHANGRAO;;;
CHINA;SHANTOU;;;
CHINA;SHAOGUAN;;;
CHINA;SHAOYANG;;;
CHINA;SHENYANG;;;
CHINA;SHIJIAZHUANG;;;
CHINA;SHIYAN;;;
CHINA;SHIZUISHAN;;;
CHINA;SHUNDE;;;
CHINA;SHUOZHOU;;;
CHINA;SIPING;;;
CHINA;SONGYUAN;;;
CHINA;SUZHOU;;;
CHINA;TAIZHOU;;;
CHINA;TANGSHAN;;;
CHINA;TIANJIN;;;
CHINA;TIANJUN;;;
CHINA;TIANSHUI;;;
CHINA;TONGHUA;;;
CHINA;URUMQI;;;
CHINA;WANSHOU;;;
CHINA;WANZHOU;;;
CHINA;WUDU;;;
CHINA;WUHAI;;;
CHINA;WUHAN;;;
CHINA;WUHU;;;
CHINA;WULANCHABU;;;
CHINA;WUXI;;;
CHINA;WUZHOU;;;
CHINA;XIAMEN;;;
CHINA;XIAN;;;
CHINA;XIANGYANG;;;
CHINA;XICHANG;;;
CHINA;XILIN GOL;;;
CHINA;XINGYI;;;
CHINA;XINING;;;
CHINA;XINYU;;;
CHINA;XUZHOU;;;
CHINA;YA AN;;;
CHINA;YAN'AN;;;
CHINA;YANCHENG;;;
CHINA;YANGZHOU;;;
CHINA;YANJI;;;
CHINA;YANTAI;;;
CHINA;YIBIN;;;
CHINA;YICHANG;;;
CHINA;YINCHUAN;;;
CHINA;YINGKOU;;;
CHINA;YINING;;;
CHINA;YONG AN;;;
CHINA;YONG CHUAN;;;
CHINA;YONGZHOU;;;
CHINA;YULIN;;;
CHINA;YUNFU;;;
CHINA;ZHANGJIAKOU;;;
CHINA;ZHANJIANG;;;
CHINA;ZHAOQING;;;
CHINA;ZHENGZHOU;;;
CHINA;ZHONGWEI;;;
CHINA;ZHOUSHAN;;;
CHINA;ZUNYI;;;
COLOMBIA;BARRANCABERMEJA;;;
COLOMBIA;BOGOTA;;;
COLOMBIA;BUCARAMANGA;;;
COLOMBIA;CUCUTA;;;
COLOMBIA;MEDELLIN;;;
COLOMBIA;PEREIRA;;;
COLOMBIA;SABANETA;;;
COLOMBIA;SOLEDAD;;;
COLOMBIA;TURBACO;;;
COLOMBIA;YOPAL;;;
COLOMBIA;YUMBO;;;
COMOROS;MORONI;;;
CONGO;BRAZZAVILLE;;;
CONGO;POINTE-NOIRE;;;
CONGO  DEMOCRATIC REPUBLIC OF;KINSHASA;;;
CONGO  DEMOCRATIC REPUBLIC OF;LUBUMBASHI;;;
COSTA RICA;LIMON;;;
COSTA RICA;PARRITA;;;
COSTA RICA;PEREZ ZELEDON;;;
COSTA RICA;SANTA ANA;;;
COSTA RICA;SANTA CRUZ;;;
COTE D'IVOIRE;ABIDJAN;;;
CROATIA;DUGOPOLJE;;;
CROATIA;KASTAV;;;
CROATIA;OSIJEK;;;
CROATIA;ZAGREB;;;
CYPRUS;LIMASSOL;;;
CYPRUS;NICOSIA;;;
CZECH REPUBLIC;CESKE BUDEJOVICE;;;
CZECH REPUBLIC;CHRASTANY;;;
CZECH REPUBLIC;HRADEC KRALOVE;;;
CZECH REPUBLIC;JIHLAVA;;;
CZECH REPUBLIC;LIBEREC;;;
CZECH REPUBLIC;MODLETICE;;;
CZECH REPUBLIC;NAPAJEDLA;;;
CZECH REPUBLIC;OLOMOUC;;;
CZECH REPUBLIC;OSTRAVA;;;
CZECH REPUBLIC;PRAHA;;;
CZECH REPUBLIC;RICANY U PRAHY;;;
DENMARK;AARHUS;;;
DENMARK;BALLERUP;;;
DENMARK;BRONDBY;;;
DENMARK;ESBJERG;;;
DENMARK;HORSENS;;;
DJIBOUTI;DJIBOUTI;;;
DOMINICAN REPUBLIC;SANTO DOMINGO;;;
DOMINICAN REPUBLIC;SANTO DOMINGO OESTE;;;
ECUADOR;AMBATO;;;
ECUADOR;CUENCA;;;
ECUADOR;GUAYAQUIL;;;
ECUADOR;NUEVA LOJA;;;
ECUADOR;PORTOVIEJO;;;
ECUADOR;PUERTO FRANCISCO DE ORELLANA;;;
ECUADOR;QUITO;;;
ECUADOR;SANTO DOMINGO DE LOS COLORADOS;;;
EL SALVADOR;SAN SALVADOR;;;
EQUATORIAL GUINEA;BATA;;;
EQUATORIAL GUINEA;MALABO;;;
ERITREA;ASMARA;;;
ESTONIA;SAUE;;;
ETHIOPIA;ADDIS ABABA;;;
FIJI;LAMBASA;;;
FIJI;LAUTOKA;;;
FIJI;SUVA;;;
FINLAND;HELSINKI;;;
FINLAND;HELSINGBY;;;
FINLAND;LEMPAALA;;;
FINLAND;LIETO;;;
FINLAND;MIKKELI;;;
FINLAND;OULU;;;
FINLAND;VANTAA;;;
FINLAND;VUORELA;;;
FRANCE;AIX EN PROVENCE;;;
FRANCE;ANDREZIEUX BOUTHEON;;;
FRANCE;ARBIN;;;
FRANCE;BOISSEUIL;;;
FRANCE;BON ENCONTRE;;;
FRANCE;BONNEVILLE;;;
FRANCE;BOULOGNE SUR MER;;;
FRANCE;BRIE COMTE ROBERT;;;
FRANCE;CEBAZAT;;;
FRANCE;CHALONS EN CHAMPAGNE;;;
FRANCE;ELOYES;;;
FRANCE;ENNERY;;;
FRANCE;EYSINES;;;
FRANCE;GENLIS;;;
FRANCE;GONDREVILLE;;;
FRANCE;LUANT;;;
FRANCE;MARSEILLE;;;
FRANCE;MIONS;;;
FRANCE;MOISSY CRAMAYEL;;;
FRANCE;MONETEAU;;;
FRANCE;MONTLHERY;;;
FRANCE;NICE;;;
FRANCE;NIORT;;;
FRANCE;NOYAL SUR VILAINE;;;
FRANCE;ONET LE CHATEAU;;;
FRANCE;PARIS;;;
FRANCE;PERONNE;;;
FRANCE;PERPIGNAN;;;
FRANCE;PESSAC;;;
FRANCE;PETITE SYNTHE;;;
FRANCE;POMPEY;;;
FRANCE;PUGET SUR ARGENS;;;
FRANCE;QUIMPER;;;
FRANCE;SECLIN;;;
FRANCE;SORGUES;;;
FRANCE;ST. DENIS;;;
FRANCE;ST. HERBLAIN;;;
FRANCE;ST. JEAN DE LINIERES;;;
FRANCE;ST. JEAN DU CARDONNAY;;;
FRANCE;ST. MARCEL LES VALENCE;;;
FRANCE;ST. MARTIN DE SEIGNANX;;;
FRANCE;TOULOUSE;;;
